"","X","word","counts","aveScore"
"519",1295,"story",43,1.51494117647059
"520",1620,"georgia",43,1.4813023255814
"521",1719,"runaway",43,1.65013636363636
"522",2338,"cool",43,1.82455
"523",2925,"great",43,1.75390163934426
"524",4717,"eu",43,1.03375179856115
"525",58,"california",42,3.00159523809524
"526",294,"far",42,1.34785436893204
"527",473,"takes",42,1.88339534883721
"528",586,"jack",42,1.91038983050847
"529",787,"yesterday",42,1.88492307692308
"530",1038,"lose",42,2.0121329113924
"531",1173,"man.s",42,1.26323728813559
"532",1209,"sad",42,1.46195774647887
"533",1385,"son",42,1.69100362318841
"534",1508,"war",42,1.22480869565217
"535",1702,"boom",42,3.50272222222222
"536",2321,"rockin",42,1.34213461538462
"537",3206,"work",42,1.59458139534884
"538",224,"candy",41,1.89957777777778
"539",393,"million",41,0.69168085106383
"540",400,"boat",41,1.73710144927536
"541",464,"came",41,1.60241860465116
"542",538,"dirty",41,1.73819444444444
"543",648,"nice",41,1.40113043478261
"544",668,"silver",41,1.10770909090909
"545",1190,"south",41,1.02230303030303
"546",1713,"sometimes",41,1.35487804878049
"547",1917,"sentimental",41,1.57614634146341
"548",1951,"saw",41,1.71704081632653
"549",2062,"valley",41,1.40548780487805
"550",297,"freedom",40,1.3362
"551",874,"voce",40,0.570325
"552",914,"si",40,1.48217939135077
"553",3132,"knows",40,1.31785
"554",498,"stranger",39,2.22918518518519
"555",669,"bell",39,1.34809090909091
"556",1109,"polka",39,2.00420512820513
"557",1167,"golden",39,1.4854
"558",1735,"inside",39,1.41923684210526
"559",1803,"evening",39,1.57389743589744
"560",2794,"seven",39,1.09809090909091
"561",156,"perfect",38,1.50178947368421
"562",316,"butterfly",38,1.53578947368421
"563",739,"else.",38,1.24780555555556
"564",825,"non",38,1.38422222222222
"565",1146,"dixie",38,0.821565217391304
"566",1306,"darlin",38,1.11598876404494
"567",1354,"dreaming",38,0.77735
"568",2125,"fun",38,1.49237593984962
"569",3279,"missing",38,2.3415
"570",77,"changes",37,1.15562162162162
"571",989,"nobody.s",37,1.00241025641026
"572",994,"doll",37,1.71924050632911
"573",1022,"der",37,1.53389102564103
"574",1548,"tennessee",37,1.73075675675676
"575",1600,"choo",37,1.55989830508475
"576",1692,"send",37,1.63086956521739
"577",1705,"left",37,1.21897297297297
"578",1777,"wake",37,2.47245945945946
"579",1854,"jones",37,1.33764864864865
"580",1992,"slow",37,1.63625
"581",2148,"marie",37,1.2539756097561
"582",2263,"dreamer",37,1.10869047619048
"583",3362,"strange",37,1.82285416666667
"584",3396,"angels",37,1.21372972972973
"585",379,"feelin",36,1.83586607142857
"586",706,"used",36,1.6224358974359
"587",747,"s",36,1.56087013773882
"588",1065,"desire",36,1.3667
"589",1119,"wine",36,1.73218421052632
"590",1152,"peace",36,1.16165217391304
"591",1441,"guy",36,1.99878723404255
"592",1540,"lips",36,1.72396428571429
"593",1670,"dog",36,1.87165079365079
"594",1688,"heartbeat",36,1.21927027027027
